Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,20,MIN,NBA,SF,1,0,18:00,1,7,.143,0,0,,4,4,1.000,1,9,1,0,1,0,2,6
1997-98,21,MIN,NBA,PF,1,1,21:00,6,11,.545,0,1,.000,0,0,,1,4,2,2,1,3,0,12
1999-00,23,MIN,NBA,PF,1,1,35:00,10,19,.526,0,1,.000,4,4,1.000,3,10,5,1,1,0,1,24
2000-01,24,MIN,NBA,PF,1,1,27:00,7,12,.583,0,0,,0,0,,1,4,4,1,3,2,0,14
2001-02,25,MIN,NBA,PF,1,1,24:00,7,15,.467,0,1,.000,0,0,,6,12,2,2,0,0,1,14
2002-03,26,MIN,NBA,PF,1,1,41:00,17,24,.708,0,0,,3,3,1.000,1,9,3,5,1,4,3,37
2003-04,27,MIN,NBA,PF,1,1,28:52,6,14,.429,0,1,.000,0,0,,3,7,6,2,1,1,0,12
2004-05,28,MIN,NBA,PF,1,1,16:21,5,8,.625,0,0,,0,1,.000,0,3,2,0,0,2,2,10
2005-06,29,MIN,NBA,PF,1,0,16:24,1,9,.111,0,0,,0,0,,2,9,4,1,0,2,1,2
2006-07,30,MIN,NBA,PF,1,1,14:11,3,8,.375,0,0,,1,2,.500,4,6,4,2,1,1,0,7
2007-08,31,BOS,NBA,PF,,,,,,,,,,,,,,,,,,,,
2008-09,32,BOS,NBA,PF,1,1,18:52,5,5,1.000,0,0,,2,2,1.000,2,4,2,0,0,2,0,12
2009-10,33,BOS,NBA,PF,1,1,12:43,2,4,.500,0,0,,0,0,,0,3,2,0,1,2,0,4
2010-11,34,BOS,NBA,PF,1,0,7:32,2,3,.667,0,0,,0,0,,0,5,2,0,1,0,0,4
2012-13,36,BOS,NBA,C,1,1,6:26,0,2,.000,0,0,,0,0,,1,3,1,0,0,1,0,0
Career,,,NBA,,14,11,287,72,141,.511,0,4,.000,14,16,.875,25,88,40,16,11,20,10,158
