 
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,18,LAL,NBA,SF,9,0,133,5.7,14.9,.382,1.6,6.2,.261,4.1,8.7,.469,7.0,8.1,.867,0.3,2.7,3.0,3.0,0.8,0.5,3.8,6.2,20.0
1997-98,19,LAL,NBA,SF,11,0,220,5.1,12.4,.408,0.5,2.3,.214,4.6,10.1,.452,5.1,7.4,.689,1.1,2.3,3.4,2.6,0.5,1.3,1.8,4.6,15.7
1998-99,20,LAL,NBA,SG,8,8,315,7.0,16.2,.430,0.9,2.6,.348,6.1,13.6,.445,3.2,4.0,.800,1.5,4.8,6.3,4.2,1.7,1.1,3.5,2.7,18.1
1999-00,21,LAL,NBA,SG,22,22,857,7.3,16.6,.442,0.9,2.7,.344,6.4,13.9,.461,4.0,5.3,.754,1.1,3.0,4.1,4.1,1.3,1.3,2.3,3.7,19.5
2000-01,22,LAL,NBA,SG,16,16,694,8.7,18.6,.469,0.6,1.8,.324,8.1,16.8,.485,6.4,7.8,.821,1.5,4.5,6.0,5.0,1.3,0.6,2.6,2.7,24.4
2001-02,23,LAL,NBA,SG,19,19,833,8.1,18.6,.434,1.0,2.5,.379,7.1,16.1,.442,4.8,6.3,.759,1.2,3.6,4.8,3.8,1.2,0.7,2.3,2.8,21.9
2002-03,24,LAL,NBA,SG,12,12,531,9.3,21.5,.432,1.7,4.2,.403,7.6,17.3,.439,5.8,7.1,.827,1.1,3.1,4.1,4.2,0.9,0.1,2.8,2.4,26.1
2003-04,25,LAL,NBA,SG,22,22,973,7.0,17.0,.413,0.9,3.6,.247,6.1,13.4,.457,5.0,6.1,.813,0.7,3.2,3.8,4.5,1.6,0.3,2.3,2.2,19.9
2005-06,27,LAL,NBA,SG,7,7,314,8.3,16.6,.497,1.6,4.0,.400,6.6,12.6,.527,4.2,5.5,.771,0.5,4.6,5.0,4.1,0.9,0.3,3.8,2.9,s22.4
2006-07,28,LAL,NBA,SG,5,5,215,10.0,21.8,.462,1.7,4.7,.357,8.4,17.1,.490,5.7,6.2,.919,0.2,4.2,4.4,3.7,0.8,0.3,3.7,1.7,27.5
2007-08,29,LAL,NBA,SG,21,21,863,9.3,19.3,.479,1.3,4.4,.302,7.9,14.9,.532,6.5,8.1,.809,0.8,4.2,5.0,4.9,1.5,0.3,2.9,2.5,26.4
2008-09,30,LAL,NBA,SG,23,23,940,9.3,20.3,.457,1.4,4.1,.349,7.9,16.2,.483,6.7,7.5,.883,0.7,4.0,4.7,4.8,1.5,0.8,2.3,2.3,26.6
2009-10,31,LAL,NBA,SG,23,23,923,9.1,19.9,.458,1.9,5.1,.374,7.2,14.8,.487,6.0,7.1,.842,1.0,4.4,5.4,4.9,1.2,0.6,3.1,2.9,26.2
2010-11,32,LAL,NBA,SG,10,10,354,8.4,18.9,.446,1.2,4.2,.293,7.2,14.7,.490,5.1,6.2,.820,0.8,2.6,3.5,3.4,1.6,0.3,3.2,2.3,23.2
2011-12,33,LAL,NBA,SG,12,12,476,10.0,22.8,.439,1.3,4.5,.283,8.7,18.2,.477,6.0,7.2,.832,1.2,3.2,4.4,3.9,1.2,0.2,2.6,2.5,27.2
Career,,,NBA,,220,200,8641,8.4,18.7,.448,1.2,3.7,.331,7.2,15.1,.476,5.5,6.7,.816,1.0,3.7,4.7,4.3,1.3,0.6,2.7,2.7,23.5
